Target_name,RA_1,Dec_1,source_id,ra_2,ra_error,dec_2,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_template_logg,rv_template_fe_h,phot_variable_flag,teff_val,a_g_val,GroupID,GroupSize,Separation
HV00855,16.823333,-73.223889,4687201890086026880,16.82319592522681,0.016788204602014162,-73.22394629267313,0.013240846550846622,-0.015622039753918729,0.015115113940150452,0.9854334080076821,-1.141927571670305,13.5950365,1.1866055,,,,,VARIABLE,5024.0,,,,0.2506534794444482
HV00865,25.13375,-74.5075,4638055919331408128,25.134193003302315,0.023173039977500132,-74.50711402850855,0.01873142931929593,-0.026097757736980094,0.02544648526528847,1.2634439839791147,-1.1265650997757732,13.020083,1.050168,184.88336599502915,7.591669260413323,3.5,0.0,VARIABLE,5159.6665,,,,1.4533334233442141
HV01328,8.22875,-73.821944,4688810475608636800,8.22883107265593,0.02664586765311796,-73.82197346538187,0.021935305475388366,-0.05402936642116848,0.02310074185793832,0.54769425416894,-1.1845569012189665,13.992491,0.78492546,,,,,VARIABLE,5937.3335,,,,0.133659355133463
HV01333,9.012917,-73.933333,4685792625426268032,9.014429714377576,0.026984952762597467,-73.93302369028642,0.02110714532838204,-0.05137389425061251,0.025110445699886862,0.4593763086264644,-1.2306130903859276,14.609986,1.0721188,,,,,VARIABLE,5028.78,,,,1.8738873025766867
HV01342,9.890417,-73.748611,4685801249719882240,9.890876394866122,0.016630948238230348,-73.74843736972286,0.013356072231495384,-0.014404059995370018,0.016731356784409217,0.47602993185277154,-1.1874671845372666,14.031276,0.8141155,,,,,VARIABLE,5890.6665,,,,0.7777667648879245
HV01369,10.740417,-73.120833,4688865863517608576,10.739561002959935,0.02073042855330845,-73.12073329417478,0.01722795326829032,-0.010242309321973009,0.019512832726255955,0.478866199175657,-1.0725604960047392,14.33202,0.9235649,,,,,VARIABLE,5263.4,,,,0.9640671584366558
HV01372,10.800833,-73.325278,4688848236968643968,10.801431404402033,0.027174058545888172,-73.32545076916085,0.02302613295228648,-0.09057263185251745,0.02614359063985036,0.6250252239471201,-1.1321906201055516,14.886974,1.167551,,,,,VARIABLE,4896.9,,,,0.8768898214776819
HV01430,11.79375,-72.960556,4688955782964714880,11.793504703608251,0.026690260989167967,-72.96050445334053,0.019824464881448886,-8.809856758594207E-5,0.022544461940996338,0.7447999098113804,-1.034390372335151,14.194922,1.1770973,,,,,VARIABLE,4887.6665,,,,0.31842589686395917
HV01442,11.980833,-73.31,4685930854693508224,11.980501497002932,0.018713327482369434,-73.31026131455987,0.01654867805774692,-0.041528427777566955,0.019831261889523995,0.6112632833508295,-1.0748735119060802,14.637523,1.0725756,,,,,VARIABLE,5010.855,,,,1.0012223270876541
HV01451,12.100833,-73.225556,4685943464721223040,12.100942057859548,0.017396673798846615,-73.22591563074039,0.014702198425169495,-0.02783333628527159,0.017737498016678843,0.6368685487157277,-1.1886085080682554,13.787681,1.2476616,,,,,VARIABLE,4876.0,,,,1.299619447846127
HV01478,12.376667,-73.318333,4685928690029435264,12.37667511782164,0.020649162463728565,-73.31835737878265,0.017805607245686878,-0.02729975923102354,0.02217737642126295,0.511869336133112,-1.095596694341037,14.930677,1.2546616,,,,,VARIABLE,4831.0,,,,0.08816363375836037
HV01482,12.437083,-73.139722,4685945354507531392,12.435882037945683,0.021978458547890368,-73.13980433249739,0.016832256862767025,0.014172976846084965,0.020809700636913772,0.6011738187086053,-1.202805084187572,14.594655,1.0904398,,,,,VARIABLE,5049.11,,,,1.2885222801265623
HV01501,12.660417,-72.959444,4685957036821691392,12.660761199075642,0.020506477965216964,-72.95925068263186,0.013793690266415328,-0.0011085247302978416,0.016692397697968035,0.5264679687048007,-1.2365433739082332,13.962815,1.1904306,,,,,VARIABLE,4900.5,,,,0.7849806047510368
HV01522,12.799167,-73.191389,4685938310759267968,12.79930587875041,0.12526522134356113,-73.19128740074392,0.08083891290687768,-0.2975851888989521,0.10156334162574675,0.5954216568219016,-0.8690808909638542,16.803158,,,,,,NOT_AVAILABLE,,,,,0.3932952214313801
HV01533,12.914583,-73.025,4685953085450651904,12.913906000111403,0.02488186722389834,-73.02516661548782,0.017507565624713402,0.00349840299991266,0.02061308184224881,0.6007136619255535,-1.205392890372948,14.859301,1.1916866,,,,,VARIABLE,4917.5,0.5098,,,0.9306337559390653
HV01543,12.954167,-73.365278,4685885740348741504,12.95485098843823,0.017934344921004406,-73.36543622924388,0.015010377992084687,-0.02835550298637321,0.018408624059260147,0.6400375059023607,-1.2100096868073205,14.474909,1.201704,,,,,VARIABLE,4887.6665,,,,0.9062826320170787
HV01560,13.14375,-72.970278,4685954730357117056,13.14388568693236,0.02056068404846875,-72.97016968098221,0.015026660738872752,-0.011532351151861646,0.018425603135787255,0.719779130233277,-1.258425125842921,14.531141,1.0357609,,,,,VARIABLE,5224.4854,,,,0.41536190806792916
HV01787,14.772917,-72.062778,4690521345737369344,14.772817128810837,0.021342369197198882,-72.06237536468343,0.014639234276049504,-0.020090875752864425,0.01779019006861165,0.676227632753055,-1.2131142032895053,14.218984,0.9692745,,,,,VARIABLE,5320.0,,,,1.4537104063750976
HV01828,15.14625,-73.7825,4685633333672247168,15.145919752894052,0.04973150867296567,-73.78276376966357,0.03997933189635918,-0.028158268271671026,0.05044754110503977,0.4697537728378753,-1.3751421692366623,16.812742,1.0012035,,,,,VARIABLE,5196.75,,,,1.005948496717629
HV01835,15.14,-72.788889,4685971777152811904,15.139440110459713,0.01944232851889274,-72.78926583679493,0.01504335772672514,-0.027969941196840636,0.019202790910949293,0.8368338375638755,-1.1211092170672396,14.455411,1.0825329,,,,,VARIABLE,4946.0,,,,1.481919910136454
HV01877,15.455833,-72.095833,4690507331280071424,15.456224814869568,0.02011357949994092,-72.09591679642321,0.014975138295373393,-0.02407119850113412,0.01775530107382146,0.6806144472674779,-1.2642343318152733,12.96312,1.2156811,174.09151209375358,7.517686443920852,3.5,0.0,VARIABLE,4907.817,,,,0.5282433379345406
HV01884,15.491667,-72.197222,4690502551007602304,15.49125789028759,0.02079525775737286,-72.19707346401769,0.015457660457193042,-0.03913321572680082,0.018768027944389046,0.6829127610976299,-1.1704668446693254,14.32282,1.1238804,,,,,VARIABLE,4917.09,,,,0.6990725619564072
HV01925,15.82375,-72.551111,4687476905444322560,15.823672958195905,0.016096734153334145,-72.55128109158099,0.01370967776378586,-0.03584881375379738,0.01707112906955933,0.8035075873686861,-1.2035246417854528,13.8605995,0.83967495,,,,,VARIABLE,5775.5,,,,0.6179514444849729
