,ID,logP,m3p6,e3p6,m4p5,e4p5,colour,ecolour,id_compare,Target_name,RA_1,Dec_1,source_id,ra_2,ra_error,dec_2,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_template_logg,rv_template_fe_h,phot_variable_flag,teff_val,a_g_val,Separation,Galaxy
13,V340Nor,1.053,5.452999999999999,0.002,5.48,0.002,-0.027000000000000003,0.001,v340nor,V340_Nor,243.32332999999997,-54.234719999999996,5932569709575669504,243.32248385662487,0.04266879787816222,-54.23489647010972,0.021404331642953404,0.487026113718176,0.0534328987030064,-2.098525232073604,-2.51255238337205,8.037764,1.4532199,-41.698031303780496,1.640427336679852,2.0,0.0,VARIABLE,4740.075,,1.8903001287682328,MW
14,TWNor,1.033,6.152,0.003,6.16,0.004,-0.008,0.002,twnor,TW_Nor,241.23,-51.95361,5981406000300438016,241.23009579154674,0.03617782815671114,-51.9535268650364,0.020892647871857926,0.35051871681111224,0.045361480205984614,-2.1940391427965844,-2.835258537565831,10.5042515,2.5493574,-59.66370067142907,4.165140293752248,2.0,0.25,NOT_AVAILABLE,3712.01,,0.367071311405544,MW
15,zetaGem,1.0070000000000001,2.025,0.002,2.037,0.003,-0.012,0.001,zetagem,Zeta_Gem,106.02708,20.57027,3366754155291077632,106.02717789987445,0.2972021443574035,20.570294371690366,0.26601938252676044,2.2496770700681155,0.3006087557941395,-6.342494199226874,-1.7073079969778564,4.065783000000001,1.0162146,10.368092367435144,13.058811622763596,1.5,0.25,VARIABLE,5143.45,,0.34143417574126905,MW
16,betaDor,0.993,1.858,0.003,1.871,0.003,-0.013000000000000001,0.002,betador,Beta_Dor,83.40625,-62.48972,4757601523650165120,83.40630967798377,0.2573636753778136,-62.48977125108528,0.29666866588536595,3.1118701982234143,0.28452436159852673,0.8004967763939882,9.4578404074484,5.8134713,,,,,,VARIABLE,,,0.20949839711329069,MW
17,SNor,0.9890000000000001,4.066,0.003,4.085,0.003,-0.019,0.002,snor,S_Nor,244.71582999999998,-57.899719999999995,5835124087174043136,244.71595242468112,0.03727087615527303,-57.89980251724189,0.022118537558094842,1.0615750912204691,0.04220963229268318,-1.4149714383947076,-2.2867223433246053,6.150488,1.2682366000000003,-1.3763386482022335,2.654812561008928,2.0,0.25,VARIABLE,5065.75,,0.3782823028971057,MW
18,SSge,0.9229999999999999,3.6519999999999997,0.003,3.661,0.003,-0.009000000000000001,0.001,ssge,S_Sge,299.005,16.63472,1820309639468685824,299.0052638691185,0.05914538294236826,16.63476448387764,0.05318458359770867,0.6425529353755096,0.09315620122279228,1.7629273706108894,-5.428028782233733,5.718552,1.0886168,-16.4586827913118,3.9784019724887143,1.0,0.25,VARIABLE,5076.0,,0.9241543551331854,MW
19,DLCas,0.903,5.7829999999999995,0.003,5.791,0.003,-0.008,0.001,dlcas,DL_Cas,7.49375,60.211940000000006,428620663657823232,7.494096943580793,0.026028557037513528,60.21195747222775,0.026152621587517744,0.4222300559221184,0.034159352477810705,-2.5690015541236093,-1.4701762469058193,8.575204,1.5618843999999998,,,,,VARIABLE,4397.6353,,0.6236728624455329,MW
20,UVul,0.903,3.7969999999999997,0.003,3.778,0.003,0.019,0.001,uvul,U_Vul,294.15708,20.33305,1825621002188696448,294.15720453209343,0.024772655381799083,20.332931765237802,0.032738266319253265,1.0529894731273517,0.03896729647936743,0.905571173983876,-0.9598756789558418,6.691198299999999,1.8431686999999999,-2.680865078509328,2.5220015278170065,4.5,0.0,VARIABLE,3975.0,0.728,0.5982420897024677,MW
21,WSgr,0.8809999999999999,2.721,0.003,2.719,0.004,0.002,0.001,wsgr,W_Sgr,271.255,-29.58,4050309195613114624,271.25513211863625,0.2928375668150175,-29.580109066979976,0.2726653031233966,1.1797945591076429,0.4125448568152356,4.367513665801583,-5.7694050136906085,7.224647,,-25.443481699626414,6.92369328705624,2.5,0.25,VARIABLE,,,0.5703180755295552,MW
22,etaAql,0.856,1.864,0.003,1.865,0.003,-0.001,0.001,etaaql,Eta_Aql,298.11791,1.00555,4240272953376907648,298.1182422626836,0.41398277011336,1.0056231429433782,0.3637878790197315,2.612058742147453,0.4853947331323922,7.626831604317554,-8.7116281283426,6.984803,,,,,,NOT_AVAILABLE,,,1.2246053833042059,MW
23,UAql,0.847,3.738,0.003,3.736,0.003,0.002,0.001,uaql,U_Aql,292.33875,-7.044160000000001,4207681367143932800,292.3390103696164,0.09377122047359224,-7.04412430545741,0.08223272786601478,0.960059200414642,0.10477760811453322,1.9830822441104652,-12.822719243128887,9.442853999999999,1.0204434,-5.710186623792667,5.851657687795647,4.5,0.0,VARIABLE,5095.6333,,0.9390888407604976,MW
24,XSgr,0.846,2.423,0.003,2.4090000000000003,0.003,0.013999999999999999,0.001,xsgr,X_Sgr,266.89,-27.83083,4057701830728920064,266.8900756009316,0.18283263717307527,-27.830833242791314,0.16156360653434848,3.4314367740607445,0.2019658107192288,-5.097200044094543,-9.722093440156002,4.316964,1.0354912,,,,,VARIABLE,5249.0,,0.2409651382985413,MW
