# Table1.txt
# CepID, logp, colour, e_colour, fe_h, galaxy
# whitespace separated
#
HV878 1.3675 -0.028 0.010 ... LMC
HV879 1.5660 -0.053 0.010 -0.14 LMC
HV881 1.5532 -0.051 0.010 ... LMC
HV882 1.5022 -0.016 0.008 ... LMC
HV883 2.1252 0.044 0.015 ... LMC
HV885 1.3160 -0.027 0.004 ... LMC
HV886 1.3799 -0.027 0.008 ... LMC
HV887 1.1609 -0.010 0.006 ... LMC
HV889 1.4116 -0.058 0.008 ... LMC
HV891 1.2373 -0.012 0.007 ... LMC
HV892 1.2038 -0.006 0.008 ... LMC
HV893 1.3246 -0.035 0.008 ... LMC
HV899 1.4920 -0.053 0.010 ... LMC
HV900 1.6768 -0.037 0.008 ... LMC
HV901 1.2665 -0.031 0.008 ... LMC
HV902 1.4206 -0.012 0.008 ... LMC
HV904 1.4829 -0.042 0.010 ... LMC
HV909 1.5748 -0.013 0.007 ... LMC
HV911 1.1435 -0.007 0.007 ... LMC
HV914 0.8375 0.034 0.014 ... LMC
HV932 1.1232 -0.004 0.006 ... LMC
HV953 1.6817 -0.029 0.007 ... LMC
HV955 1.1367 -0.004 0.006 ... LMC
HV971 0.9680 0.001 0.023 -0.29 LMC
HV997 1.1190 -0.011 0.007 -0.21 LMC
HV1002 1.4839 -0.027 0.009 ... LMC
HV1003 1.3863 -0.005 0.007 ... LMC
HV1005 1.2722 0.025 0.009 ... LMC
HV1006 1.1528 -0.010 0.007 ... LMC
HV1013 1.3830 -0.066 0.008 -0.59 LMC
HV1019 1.1354 -0.001 0.004 ... LMC
HV1023 1.4240 -0.072 0.008 -0.28 LMC
HV2244 1.1454 -0.011 0.006 ... LMC
HV2251 1.4454 -0.042 0.010 ... LMC
HV2257 1.5954 -0.062 0.008 ... LMC
HV2260 1.1140 0.013 0.007 -0.38 LMC
HV2262 1.1995 -0.032 0.006 ... LMC
HV2270 1.1343 -0.025 0.006 ... LMC
HV2279 0.8385 0.027 0.019 ... LMC
HV2282 1.1666 -0.003 0.007 ... LMC
HV2291 1.3486 -0.039 0.008 ... LMC
HV2294 1.5630 -0.037 0.008 -0.42 LMC
HV2324 1.1603 -0.016 0.006 ... LMC
HV2337 0.8370 0.035 0.022 -0.35 LMC
HV2338 1.6253 -0.060 0.010 ... LMC
HV2339 1.1424 -0.004 0.006 ... LMC
HV2352 1.1350 0.015 0.004 -0.49 LMC
HV2369 1.6850 -0.058 0.008 -0.62 LMC
HV2405 0.8400 0.026 0.016 -0.27 LMC
HV2432 1.0381 0.019 0.022 ... LMC
HV2447 2.0732 0.002 0.008 ... LMC
HV2463 1.1450 0.008 0.006 ... LMC
HV2527 1.1123 -0.004 0.007 ... LMC
HV2538 1.1420 -0.020 0.004 ... LMC
HV2549 1.2101 -0.006 0.006 ... LMC
HV2579 1.1280 0.007 0.005 ... LMC
HV2580 1.2280 -0.031 0.008 -0.24 LMC
HV2733 0.9410 0.032 0.015 -0.28 LMC
HV2749 1.3637 -0.057 0.006 ... LMC
HV2793 1.2840 -0.033 0.008 -0.10 LMC
HV2827 1.8970 -0.080 0.005 -0.38 LMC
HV2836 1.2440 -0.020 0.007 -0.16 LMC
HV2854 0.9363 0.025 0.021 ... LMC
HV2883 2.0373 -0.005 0.013 ... LMC
HV5497 1.9960 0.059 0.005 -0.25 LMC
HV5655 1.1526 -0.017 0.007 ... LMC
HV6065 0.8349 0.019 0.017 ... LMC
HV6098 1.3845 0.006 0.004 ... LMC
HV8036 1.4528 -0.045 0.008 ... LMC
HV12452 0.9410 0.005 0.022 -0.35 LMC
HV12471 1.2004 -0.030 0.006 ... LMC
HV12505 1.1580 -0.011 0.007 ... LMC
HV12656 1.1271 0.021 0.003 ... LMC
HV12700 0.9110 0.022 0.016 -0.36 LMC
HV12717 0.9466 0.035 0.021 ... LMC
HV12724 1.1381 -0.025 0.006 ... LMC
HV12815 1.4172 -0.045 0.008 ... LMC
HV12816 0.9594 0.021 0.016 ... LMC
HV13048 0.8359 0.013 0.017 ... LMC
P71U01 1.3533 -0.041 0.010 ... LMC
HV817 1.2770 0.031 0.010 -0.82 SMC
HV824 1.8190 0.003 0.008 -0.73 SMC
HV829 1.9260 0.035 0.013 -0.76 SMC
HV834 1.8670 0.002 0.007 -0.63 SMC
HV836 0.9733 0.035 0.031 ... SMC
